343 482
0	1	1000
1	2	1506
2	3	447
2	4	1616
4	5	1328
5	6	513
6	7	841
8	4	1317
6	8	950
6	11	1374
11	8	1266
8	10	1422
4	10	1775
1	9	1841
9	10	3027
10	11	2078
7	16	2156
11	21	1921
10	12	427
10	14	875
13	14	311
9	28	3084
14	15	540
15	20	1470
21	16	770
16	27	1217
21	27	1055
27	26	795
26	21	709
25	26	370
26	38	973
38	27	1247
27	39	1010
38	39	865
38	37	889
37	24	928
24	20	821
19	20	656
24	19	888
19	15	1059
19	23	938
18	15	602
17	18	401
18	23	446
23	22	1834
22	30	642
30	29	532
29	28	629
33	29	434
30	31	1854
31	23	937
31	32	549
31	36	1023
31	35	368
35	34	587
35	40	798
40	36	1343
40	41	1788
41	36	810
36	37	696
41	37	562
41	42	902
42	38	454
42	39	955
28	50	3177
40	45	746
44	45	554
45	46	562
48	42	757
47	48	317
48	49	303
39	56	1844
48	55	716
53	45	612
51	43	404
50	51	618
51	52	612
52	53	1729
53	54	1633
54	55	1108
55	56	1002
56	58	497
55	57	442
54	57	1066
57	58	1082
57	66	596
65	66	337
66	72	1039
71	72	386
72	73	1009
72	80	985
80	81	972
81	73	937
73	58	1603
81	103	1886
103	102	928
102	93	582
93	92	449
102	101	1374
100	101	388
99	100	1157
99	90	381
90	91	500
90	84	1074
84	85	496
84	79	320
79	69	831
69	70	511
69	63	1134
63	64	520
63	53	752
63	52	1886
63	62	934
62	61	320
62	68	713
68	69	744
68	67	321
68	77	409
68	79	1060
77	78	352
76	77	601
76	78	419
78	79	783
76	75	559
75	52	2798
75	74	1178
74	59	1634
59	60	312
59	50	1111
74	82	582
82	83	513
82	94	1156
94	95	673
95	86	353
95	96	464
104	96	446
96	75	1731
97	87	423
97	98	1028
98	99	656
98	89	643
89	90	622
89	88	288
89	78	1151
122	94	2979
117	97	2065
107	98	866
107	105	839
107	112	637
112	113	619
112	111	605
105	99	279
105	106	1168
106	100	328
106	108	380
108	109	1025
101	109	943
109	110	465
109	114	376
110	102	649
110	115	997
103	115	1302
115	121	663
121	119	1442
119	120	397
119	118	602
118	108	1296
118	117	2787
117	116	378
117	124	809
117	125	1758
125	118	1390
118	128	1045
121	133	2092
133	143	2006
133	142	2132
133	132	1126
132	128	848
128	127	670
127	125	673
125	129	1164
129	127	1092
124	125	1605
124	126	814
126	129	1417
126	135	1053
126	136	1770
129	135	1559
135	136	1283
136	129	937
129	130	695
130	127	800
130	131	472
131	132	302
132	138	894
130	137	309
136	138	1502
122	123	892
122	134	1996
134	139	1422
139	135	609
139	140	209
141	140	388
140	145	1631
141	147	1492
141	142	2586
142	143	516
142	150	1008
143	153	1956
152	153	1085
152	150	820
149	150	1234
149	148	817
148	151	290
148	147	611
147	146	222
146	145	204
145	144	1436
144	134	2179
144	161	2163
146	154	1104
96	97	179
154	155	618
155	156	501
152	173	2900
159	160	721
160	153	1393
160	177	2166
173	176	415
176	175	669
173	172	1157
170	172	719
170	167	294
166	156	1004
158	155	591
158	157	268
158	165	513
165	166	447
165	164	621
163	164	198
164	154	1049
161	162	385
161	168	534
168	169	2956
169	166	625
169	170	446
169	171	475
171	172	185
171	181	879
181	180	233
181	184	1425
184	185	665
184	183	508
183	182	2691
182	179	1781
179	174	585
179	178	1092
178	168	1412
178	182	1384
182	205	4417
188	187	1326
183	189	411
189	190	503
189	188	551
188	198	1160
198	197	1615
198	209	1868
199	191	702
191	185	1202
192	176	3307
191	192	335
192	193	338
193	194	634
194	195	1284
195	196	986
195	177	3543
196	186	2646
186	177	1096
193	200	1466
194	200	1461
196	203	1782
200	201	690
201	202	2086
202	203	512
214	203	391
213	202	460
213	214	500
212	213	1980
212	201	717
201	211	856
204	210	309
210	209	826
210	211	360
210	208	920
201	211	856
212	215	774
215	211	389
208	209	445
208	207	968
207	206	1672
205	206	400
222	205	1787
206	216	1086
216	207	1122
217	218	521
218	208	652
218	215	1300
219	215	628
220	212	950
220	221	250
213	232	1997
214	233	2069
233	232	466
231	232	809
